SYMBOL,START_DATE,END_DATE,DATES,SPREAD,N_CLUSTERS,PREDICTIVE_CLUSTERS,RETURN,MIN_PIPS,N_TRADE,WIN_RATE,MAX_DRAWDOWN,SHARPE,PATH,BENCHMARK_RETURN
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,200,139,-3.5645877099360845,0.05,221,0.4932126696832579,0.0270019157088123,-1.042895558329555,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,200,125,-0.2601871324502181,0.05,205,0.4926829268292683,0.0242501696448766,-0.3796809430913974,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,200,145,0.5835804785085719,0.05,223,0.5022421524663677,0.0242501696448766,-0.1082198930213273,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,200,148,1.7103230380128842,0.05,232,0.4956896551724138,0.0240068886337543,0.1767591160385636,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,200,132,-15.189335270418436,0.05,206,0.4660194174757281,0.0270019157088122,-2.66740446013514,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,200,95,-24.23531374945005,0.05,192,0.453125,0.0270019157088123,-3.21851343841075,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,300,158,5.579168262356071,0.05,185,0.518918918918919,0.0270019157088122,1.345739467910381,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,300,169,10.9898176065081,0.05,199,0.5175879396984925,0.0240068886337543,2.1470658047844258,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,300,134,-21.50487205404532,0.05,209,0.4449760765550239,0.0270019157088121,-3.1030198848297044,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,300,174,-3.021414613931228,0.05,202,0.5,0.0242501696448767,-0.9619098499721228,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,300,183,-18.523816270085657,0.05,216,0.4722222222222222,0.0270019157088122,-2.870274503909004,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,300,180,-6.936294143130917,0.05,211,0.4928909952606635,0.0270019157088121,-1.6504711770938152,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,400,179,-4.1943099315040815,0.05,160,0.49375,0.0240068886337543,-1.459469820219236,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,400,122,-20.24421286577628,0.05,163,0.4417177914110429,0.0270019157088122,-2.5040442870670376,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,400,168,-5.536131472771288,0.05,158,0.4873417721518987,0.0240068886337543,-1.559818026663507,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,400,163,-24.569016374343,0.05,173,0.4277456647398844,0.0270019157088122,-2.8083487401590994,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,400,173,10.989669327961282,0.05,154,0.551948051948052,0.0242501696448766,1.778768951994287,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,400,179,-4.736078712686309,0.05,154,0.487012987012987,0.0240068886337542,-1.3790454672769146,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,400,153,-13.21249420220102,0.05,165,0.4787878787878787,0.0242501696448766,-2.391383447561357,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,400,136,-8.234304114263491,0.05,191,0.4921465968586387,0.0270019157088122,-2.0537131654613785,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,400,175,-12.852322251775872,0.05,157,0.4522292993630573,0.0240068886337543,-2.20718918583181,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,400,150,-0.3786787501034894,0.05,152,0.506578947368421,0.0240068886337543,-0.4823911554467862,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,500,152,-52.987387061460645,0.05,144,0.2777777777777778,0.0270019157088122,-3.3277527327584786,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,500,136,9.07102316189292,0.05,120,0.5583333333333333,0.0270019157088122,1.94704840227836,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,500,156,-15.332425096298309,0.05,131,0.4503816793893129,0.0240068886337543,-2.660330651938375,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,500,130,12.169855350972725,0.05,143,0.5384615384615384,0.0240068886337543,2.9706930378603635,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,500,156,-8.433415201384054,0.05,145,0.496551724137931,0.0270019157088123,-2.156525024789336,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,500,164,-14.184494632417357,0.05,136,0.4411764705882353,0.0242501696448766,-2.313588805866823,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,500,142,20.989765663773376,0.05,127,0.5826771653543307,0.0240068886337542,3.749583220270668,/content/PSC-Pattern-Classification/,7.629613356766263
